Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Algebra	Inequalities and optimization	discrete prekopa-leindler flavor	discrete convexity, analogy/flavor	Prekopa-Leindler inequality		DISCRETE PR√âKOPA-LEINDLER FLAVOR
Algebra	Discrete functions, floors, rounding, and base representation	discrete range				DISCRETE RANGE
Algebra	Discrete functions, floors, rounding, and base representation	discrete structure				DISCRETE STRUCTURE
Combinatorics	Combinatorial structures and processes	discrete topology				DISCRETE TOPOLOGY
Algebra	Analytic estimates and asymptotics	discrete variational estimate	variational estimate			DISCRETE VARIATIONAL ESTIMATE
Algebra	Inequalities and optimization	discrete functions		Wirtinger inequality		DISCRETE WIRTINGER
Algebra	Inequalities and optimization	discrete functions		Poincare inequality, Wirtinger inequality		DISCRETE WIRTINGER/POINCAR√â
Algebra	Analytic estimates and asymptotics	discrete ‚äúderivative‚äù bounds	finite-difference bounds		bound	DISCRETE ‚ÄúDERIVATIVE‚Äù BOUNDS
Combinatorics	Algorithms, automata, words, and constructive combinatorics	discrete model	discretization			DISCRETIZATION
Algebra	Inequalities and optimization		discrete convexity, discretization	Prekopa-Leindler inequality		DISCRETIZED PR√âKOPA‚ÄìLEINDLER
Algebra	Polynomials and algebraic manipulation	discriminant	factorization			DISCRIMINANT FACTORIZATION
Algebra	Polynomials and algebraic manipulation	discriminant, eigenvalues	spectral analysis			DISCRIMINANT/EIGENVALUES
Algebra	Polynomials and algebraic manipulation	discriminant	elimination, rational-root elimination			DISCRIMINANT/RATIONAL-ROOT ELIMINATION
Combinatorics	Set systems, posets, and extremal set theory	VC-dimension				DISCS/VC-DIMENSION
Number Theory	Additive and multiplicative number theory	arithmetic progressions				DISJOINT ARITHMETIC PROGRESSIONS
Combinatorics	Combinatorial structures and processes	translates				DISJOINT TRANSLATES
Number Theory	Number-theoretic algebra	disjointness				DISJOINTNESS
Algebra	Algebraic manipulation and equations	disjunctive condition			criterion	DISJUNCTIVE CONDITION
Algebra	Algebraic manipulation and equations	disjunctive equations				DISJUNCTIVE EQUATIONS
Geometry	Euclidean geometry	disk packing	packing			DISK PACKING
Combinatorics	Coloring, tiling, grids, and invariants	dissections	dissection, similarity			DISSECTION & SIMILARITY
Combinatorics	Coloring, tiling, grids, and invariants	dissections	dissection, induction		inductive step	DISSECTION INDUCTION
Combinatorics	Coloring, tiling, grids, and invariants	dissections	dissection			DISSECTIONS
Geometry	3D and solid geometry	skew lines				DISTANCE BETWEEN SKEW LINES
Number Theory	Number-theoretic algebra	skew squares				DISTANCE BETWEEN SKEW SQUARES
Geometry	Geometry-flavored algebra	distance formulas				DISTANCE FORMULAS
Combinatorics	Combinatorial structures and processes	distance gaps				DISTANCE GAPS
Combinatorics	Combinatorial algebra and counting	distance graph				DISTANCE GRAPH
Algebra	Inequalities and optimization	distance inequality				DISTANCE INEQUALITY
Combinatorics	Combinatorial structures and processes	distance layers				DISTANCE LAYERS
Geometry	Geometry-flavored algebra	distance multisets				DISTANCE MULTISETS
Number Theory	Diophantine equations and integer constraints	distance to integers				DISTANCE TO INTEGERS
Geometry	Geometry-flavored algebra	distance to lines				DISTANCE TO LINES
Geometry	Geometry-flavored algebra	distance-to-line formula				DISTANCE-TO-LINE FORMULA
Geometry	Geometry-flavored algebra	distance-to-sides				DISTANCE-TO-SIDES
Geometry	Geometry-flavored algebra	distances to lines				DISTANCES TO LINES
Geometry	3D and solid geometry	distances to planes and lines				DISTANCES TO PLANES/LINES
Number Theory	Additive and multiplicative number theory	distinct differences				DISTINCT DIFFERENCES
Number Theory	Diophantine equations and integer constraints	distinct integers				DISTINCT INTEGERS
Number Theory	Number-theoretic algebra	distinct reduced parts				DISTINCT REDUCED PARTS
Combinatorics	Combinatorial structures and processes	distinctness				DISTINCTNESS
Combinatorics	Combinatorial algebra and counting	distribution				DISTRIBUTION
Algebra	Analytic estimates and asymptotics	divergence	divergence estimate			DIVERGENCE ESTIMATE
Number Theory	Number-theoretic algebra	divergent series	divergence estimate			DIVERGENT SERIES
Algebra	Sequences, recurrences, and series	divergent series	divergence estimate			DIVERGENT SUMS
Algebra	Algebraic manipulation and equations	multiplication	divide and conquer			DIVIDE-AND-CONQUER MULTIPLICATION
Algebra	Algebraic manipulation and equations	domain	domain split, splitting			DOMAIN SPLIT
Algebra	Algebraic manipulation and equations	domain, sign	sign analysis			DOMAIN/SIGN ANALYSIS
Algebra	Algebraic manipulation and equations	domains				DOMAINS
Combinatorics	Combinatorial structures and processes		dominance argument			DOMINANCE
Combinatorics	Combinatorial structures and processes	dominance intervals	dominance argument			DOMINANCE INTERVALS
Algebra	Extremal methods, monotonicity, and invariants	largest term	dominance argument			DOMINANCE OF LARGEST TERM
Algebra	Analytic estimates and asymptotics			dominated convergence theorem		DOMINATED CONVERGENCE
Algebra	Analytic estimates and asymptotics		epsilon argument, splitting	dominated convergence theorem		DOMINATED CONVERGENCE/EPSILON SPLIT
Combinatorics	Pigeonhole, extremal principle, and averaging	domination	covering			DOMINATION/COVERING
Combinatorics	Pigeonhole, extremal principle, and averaging	domination	greedy algorithm			DOMINATION/GREEDY
Combinatorics	Combinatorial algebra and counting	matching, domino matchings				DOMINO MATCHINGS
Geometry	Special configurations and special angles					DOUBLE ANGLES
Combinatorics	Combinatorial algebra and counting		averaging			DOUBLE AVERAGING OVER MOD CLASSES
Combinatorics	Combinatorial algebra and counting		averaging, double counting			DOUBLE COUNTING / AVERAGING
Combinatorics	Combinatorial algebra and counting		double counting, incidence Cauchy-Schwarz	Cauchy-Schwarz		DOUBLE COUNTING / CAUCHY-SCHWARZ ON INCIDENCES
Combinatorics	Combinatorial algebra and counting		double counting, layering			DOUBLE COUNTING/LAYERING
Combinatorics	Combinatorial algebra and counting		double counting			DOUBLE COUNTING/SURFACE-AREA
Combinatorics	Combinatorial algebra and counting		double counting, weighting			DOUBLE COUNTING/WEIGHTS
Combinatorics	Combinatorial structures and processes					DOUBLE COVER
Algebra	Polynomials and algebraic manipulation	factorials	factorization			DOUBLE FACTORIALS
Number Theory	Modular arithmetic and residues	doubling map				DOUBLING MAP
Combinatorics	Set systems, posets, and extremal set theory	downsets				DOWNSETS
Combinatorics	Coloring, tiling, grids, and invariants	periodic packing	dynamic programming, packing			DP / PERIODIC PACKING
Combinatorics	Algorithms, automata, words, and constructive combinatorics		dynamic programming		lower bound, bound	DP LOWER BOUNDS
Combinatorics	Combinatorial algebra and counting		counting, dynamic programming			DP/COUNTING
Combinatorics	Algorithms, automata, words, and constructive combinatorics		dynamic programming, exchange argument			DP/EXCHANGE
Combinatorics	Algorithms, automata, words, and constructive combinatorics		dynamic programming, generating functions			DP/GENERATING FUNCTIONS
Combinatorics	Algorithms, automata, words, and constructive combinatorics		greedy algorithm, dynamic programming			DP/GREEDY STRUCTURE
Combinatorics	Pigeonhole, extremal principle, and averaging		duality			DUAL BARRIERS
Combinatorics	Pigeonhole, extremal principle, and averaging	dual polyhedron	duality			DUAL POLYHEDRON
Combinatorics	Graph theory	dual trees	duality			DUAL TREES
Algebra	Discrete functions, floors, rounding, and base representation		averaging, dyadic decomposition, dyadic averaging			DYADIC AVERAGING
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition, density argument			DYADIC DENSITY
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition			DYADIC DISTANCES
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition			DYADIC FLOORS
Algebra	Discrete functions, floors, rounding, and base representation		induction, dyadic decomposition, dyadic induction		inductive step	DYADIC INDUCTION
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition			DYADIC ITERATION
Algebra	Discrete functions, floors, rounding, and base representation	dyadic rationals	dyadic decomposition			DYADIC RATIONALS
Algebra	Discrete functions, floors, rounding, and base representation	dyadic rectangles	dyadic decomposition			DYADIC RECTANGLES
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition			DYADIC SPEEDS
Algebra	Discrete functions, floors, rounding, and base representation	dyadic tree	dyadic decomposition			DYADIC TREE
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition, layer splitting, splitting			DYADIC/LAYER SPLITTING
Algebra	Discrete functions, floors, rounding, and base representation		dyadic decomposition, odd-part coloring, coloring			DYADIC/ODD-PART COLORING
Combinatorics	Combinatorial algebra and counting	Dyck path	bijection			DYCK PATH BIJECTION
Combinatorics	Coloring, tiling, grids, and invariants		coloring			DYNAMIC COLORING
Combinatorics	Combinatorial algebra and counting		counting			DYNAMIC COUNTING
Combinatorics	Algorithms, automata, words, and constructive combinatorics					DYNAMIC PROCESSES
Combinatorics	Algorithms, automata, words, and constructive combinatorics	scheduling				DYNAMIC SCHEDULING
Number Theory	Number-theoretic algebra	dynamical system				DYNAMICAL BEHAVIOR
Algebra	Polynomials and algebraic manipulation	dynamical system	factorization			DYNAMICAL FACTORIZATION
Geometry	Euclidean geometry	dynamical system				DYNAMICAL GEOMETRY
Combinatorics	Graph theory	cycles, dynamical system				DYNAMICAL SYSTEMS ON CYCLES
Algebra	Sequences, recurrences, and series	eventual periodicity, sequences, dynamical system				DYNAMICS; SEQUENCES; FLOOR FUNCTION; EVENTUAL PERIODICITY
Combinatorics	Combinatorial structures and processes					EAR REMOVAL
Combinatorics	Graph theory	edges	coloring			EDGE COLORINGS
Combinatorics	Graph theory	edges				EDGE CONTRACTIONS
Combinatorics	Combinatorial algebra and counting	edges	counting			EDGE COUNTING
Combinatorics	Graph theory	edges				EDGE COVER
Combinatorics	Graph theory	edges				EDGE CUTS
Combinatorics	Graph theory	edges				EDGE SLIDES
Combinatorics	Graph theory	edges, edge connectivity				EDGE-CONNECTIVITY
Algebra	Inequalities and optimization	edges				EDGE-ISOPERIMETRIC INEQUALITY
Combinatorics	Graph theory	effective resistance				EFFECTIVE RESISTANCE
Number Theory	Modular arithmetic and residues			Erdos-Ginzburg-Ziv theorem	sharpness	EGZ-TYPE SHARPNESS
Number Theory	Modular arithmetic and residues		pigeonhole principle	Erdos-Ginzburg-Ziv theorem		EGZ/PIGEONHOLE
Number Theory	Modular arithmetic and residues		eigenvalue method			EIGEN-ANALYSIS OVER Z/PEZ\MATHBB{Z}/P^E\MATHBB{Z}Z/PEZ
Algebra	Polynomials and algebraic manipulation	eigenvalues, eigenvalue blocks	spectral analysis			EIGENVALUE BLOCKS
Algebra	Polynomials and algebraic manipulation	eigenvalues, eigenvalue chains	spectral analysis			EIGENVALUE CHAINS
Combinatorics	Combinatorial structures and processes	eigenvalues	eigenvalue method			EIGENVALUE ESTIMATE
Combinatorics	Combinatorial structures and processes	eigenvalues	eigenvalue method			EIGENVALUE METHOD
Algebra	Algebraic structures and linear algebra	eigenvectors	spectral analysis			EIGENVECTORS
Combinatorics	Set systems, posets, and extremal set theory	intersecting set family		Erdos-Ko-Rado theorem		EKR
Combinatorics	Set systems, posets, and extremal set theory	intersecting set family	analogy/flavor	Erdos-Ko-Rado theorem		EKR FLAVOR
Combinatorics	Set systems, posets, and extremal set theory	intersecting set family		Erdos-Ko-Rado theorem		EKR-TYPE
Combinatorics	Set systems, posets, and extremal set theory	intersecting set family		Erdos-Ko-Rado theorem, dictatorship theorem		EKR/DICTATORSHIP THEOREM
Geometry	Euclidean geometry					ELEMENTARY EUCLIDEAN
Geometry	Euclidean geometry	geometry configuration				ELEMENTARY EUCLIDEAN GEOMETRY
Algebra	Algebraic manipulation and equations	elementary functions				ELEMENTARY FUNCTIONS
Number Theory	Number-theoretic algebra	groups				ELEMENTARY GROUP THEORY
Number Theory	Number-theoretic algebra					ELEMENTARY METRIC
Algebra	Polynomials and algebraic manipulation	elementary symmetric sums, polynomials				ELEMENTARY SYMMETRIC POLYNOMIALS
Algebra	Polynomials and algebraic manipulation	elementary symmetric sums				ELEMENTARY SYMMETRIC SUMS
Algebra	Algebraic manipulation and equations		elimination			ELIMINATION PROCESSES
Geometry	Geometry-flavored algebra	ellipse				ELLIPSE NORMAL
Geometry	Geometry-flavored algebra	ellipse				ELLIPSE/FOCI
Geometry	Geometry-flavored algebra	ellipse, ellipses				ELLIPSES
Number Theory	Diophantine equations and integer constraints	elliptic curve	analogy/flavor			ELLIPTIC CURVE FLAVOR
Number Theory	Diophantine equations and integer constraints	Hesse curve				ELLIPTIC/HESSE CURVES
Combinatorics	Combinatorial structures and processes	empty 60-degree sectors				EMPTY 60-DEGREE SECTORS
Geometry	Geometry-flavored algebra	empty triangles				EMPTY TRIANGLES
Combinatorics	Algorithms, automata, words, and constructive combinatorics		encoding, localization			ENCODING/LOCALIZATION
Algebra	Algebraic structures and linear algebra	endomorphisms				ENDOMORPHISMS
Algebra	Algebraic manipulation and equations			Enestrom-Kakeya theorem		ENESTR√ñM‚ÄìKAKEYA STYLE
Combinatorics	Probability, entropy, coding, and information methods		entropy method			ENTROPY
Combinatorics	Combinatorial algebra and counting		counting, entropy method			ENTROPY/COUNTING
Geometry	Geometry-flavored algebra	lattice paths, order constraints				ENUMERATION / LATTICE PATHS / ORDER CONSTRAINTS
Algebra	Sequences, recurrences, and series					ENUMERATION/RECURSION
Combinatorics	Combinatorial algebra and counting	dynamical system				ENUMERATIVE/PROCESS DYNAMICS
Geometry	Euclidean geometry					ENVELOPES
Algebra	Analytic estimates and asymptotics		epsilon argument			EPSILON ARGUMENT
Algebra	Analytic estimates and asymptotics		epsilon argument			EPSILON COMPARISON
Geometry	Circle geometry	equal arcs				EQUAL ARCS
Geometry	Euclidean geometry	equal areas				EQUAL AREAS
Geometry	Circle geometry	equal chords/sides				EQUAL CHORDS/SIDES
Geometry	Circle geometry	equal circumradii				EQUAL CIRCUMRADII
Combinatorics	Combinatorial structures and processes	equal differences				EQUAL DIFFERENCES
Geometry	Circle geometry	equal power along cevians				EQUAL POWER ALONG CEVIANS
Geometry	Circle geometry	equal powers				EQUAL POWERS
Geometry	Circle geometry	equal radii				EQUAL RADII
Geometry	Euclidean geometry	equal sides				EQUAL SIDES IN QUADRILATERAL
Geometry	Circle geometry	equal tangent lengths				EQUAL TANGENT LENGTHS
Geometry	Special configurations and special angles	equal-angle claims				EQUAL-ANGLE CLAIMS
Geometry	Special configurations and special angles				construction	EQUAL-ANGLES CONSTRUCTIONS
Geometry	Circle geometry	equal-chord angles				EQUAL-CHORD ANGLES
Geometry	Geometry-flavored algebra	equal-distance locus			construction	EQUAL-DISTANCE CONSTRUCTION
Geometry	Geometry-flavored algebra	equal-distance locus				EQUAL-DISTANCE LOCI
Geometry	Circle geometry	equal-length locus				EQUAL-LENGTH CIRCLES
Geometry	Geometry-flavored algebra	equal-length locus				EQUAL-LENGTH LOCUS
Algebra	Algebraic manipulation and equations	equal-multiset trick				EQUAL-MULTISET TRICK
Geometry	Circle geometry	equal-radius symmetry				EQUAL-RADIUS SYMMETRY
Combinatorics	Combinatorial structures and processes	equal-sum pairs				EQUAL-SUM PAIRS
Geometry	Euclidean geometry	equal-sum partition				EQUAL-SUM PARTITION
Combinatorics	Set systems, posets, and extremal set theory	equal-sum subsets				EQUAL-SUM SUBSETS
Algebra	Algebraic manipulation and equations				classification, equality case	EQUALITY CLASSIFICATION
Geometry	Euclidean geometry				construction, equality case	EQUALITY CONSTRUCTION
Algebra	Algebraic manipulation and equations				verification, equality case	EQUALITY TESTING
Number Theory	Diophantine equations and integer constraints	integer equations				EQUATIONS IN INTEGERS
Algebra	Polynomials and algebraic manipulation	symmetric equations				EQUATIONS IN SYMMETRIC FORM
Geometry	Special configurations and special angles	equiangular hexagon				EQUIANGULAR HEXAGON
Geometry	Special configurations and special angles	equiangular polygon				EQUIANGULAR POLYGON
Geometry	Euclidean geometry	equidecomposition				EQUIDECOMPOSITION
Algebra	Algebraic manipulation and equations	distribution	analogy/flavor			EQUIDISTRIBUTION FLAVOR
Geometry	Special configurations and special angles	equilateral configuration			criterion	EQUILATERAL CONDITION
Geometry	Special configurations and special angles	equilateral configuration				EQUILATERAL CONFIGURATIONS
Geometry	Geometry-flavored algebra	equilateral configuration				EQUILATERAL COORDINATES
Combinatorics	Coloring, tiling, grids, and invariants	equilateral configuration	tiling			EQUILATERAL TILINGS
Combinatorics	Coloring, tiling, grids, and invariants	equitable coloring	coloring			EQUITABLE COLORING
Combinatorics	Combinatorial structures and processes	equitable partition				EQUITABLE PARTITION
Combinatorics	Algorithms, automata, words, and constructive combinatorics	strings				EQUIVALENCE OF STRINGS
Algebra	Algebraic manipulation and equations	equivalence relation				EQUIVALENCE RELATION
Combinatorics	Combinatorial structures and processes	equivalence relation				EQUIVALENCE RELATIONS
Geometry	Geometric inequalities and optimization		analogy/flavor	Erdos-Mordell inequality		ERD≈êS-MORDELL FLAVOR
Algebra	Extremal methods, monotonicity, and invariants		extremal argument	Erdos-Szekeres theorem		ERD≈êS-SZEKERES EXTREMAL METHOD
Algebra	Sequences, recurrences, and series	sequences		Erdos-Szekeres theorem		ERD≈êS-SZEKERES-TYPE SEQUENCE
Geometry	Euclidean geometry			Erdos-Szekeres theorem		ERD≈êS‚ÄìSZEKERES N=5
Combinatorics	Pigeonhole, extremal principle, and averaging			Erdos-Szekeres theorem		ERD≈êS‚ÄìSZEKERES-TYPE SELECTION
Combinatorics	Pigeonhole, extremal principle, and averaging		analogy/flavor	Erdos-Szekeres theorem, Dilworth-Mirsky theorem		ERD≈êS‚ÄìSZEKERES/DILWORTH‚ÄìMIRSKY FLAVOR
Combinatorics	Algorithms, automata, words, and constructive combinatorics	erosion process	process invariant			EROSION PROCESS
Combinatorics	Probability, entropy, coding, and information methods	error-correcting codes				ERROR-CORRECTING CODES
Combinatorics	Probability, entropy, coding, and information methods	error-correcting codes, covering codes	covering			ERROR-CORRECTING/COVERING CODES
Combinatorics	Pigeonhole, extremal principle, and averaging	domination, eternal domination				ETERNAL DOMINATION
Algebra	Sequences, recurrences, and series	Euclid sequences				EUCLID SEQUENCES
Number Theory	Divisibility, gcd, lcm, and primes		Euclid trick			EUCLID TRICK
Number Theory	Divisibility, gcd, lcm, and primes		Euclid-type argument			EUCLID-TYPE ARGUMENT
Number Theory	Divisibility, gcd, lcm, and primes		Euclid-type argument		infinitude	EUCLID-TYPE INFINITUDE
Geometry	Euclidean geometry	midpoints, orthogonality	Euclidean geometry			EUCLIDEAN / MIDPOINTS / ORTHOGONALITY
Geometry	Triangle centers and triangle configurations	orthocenter, midpoints	Euclidean geometry			EUCLIDEAN / ORTHOCENTER / MIDPOINTS
Geometry	Circle geometry	equal chords	ratio chasing, Euclidean construction		construction	EUCLIDEAN / RATIO CHASING / EQUAL-CHORD CONSTRUCTIONS
Algebra	Sequences, recurrences, and series	dynamical system	Euclidean algorithm			EUCLIDEAN ALGORITHM DYNAMICS
Geometry	Euclidean geometry		Euclidean construction		construction	EUCLIDEAN CONSTRUCTION
Algebra	Extremal methods, monotonicity, and invariants	Euclidean configuration	extremal argument			EUCLIDEAN EXTREMAL GEOMETRY
Geometry	Geometry-flavored algebra	Euclidean metric				EUCLIDEAN METRIC ALGEBRA
Algebra	Inequalities and optimization	Euclidean norm	norm estimate			EUCLIDEAN NORM
Geometry	Special configurations and special angles	angles	angle chasing			EUCLIDEAN/ANGLES
Geometry	Euclidean geometry		synthetic geometry			EUCLIDEAN/SYNTHETIC
Geometry	Triangle centers and triangle configurations	incenter		Euler incenter formula		EULER INCENTER FORMULA
Geometry	Geometric inequalities and optimization	triangle radii		Euler inequality		EULER INEQUALITY
Geometry	Triangle centers and triangle configurations	Euler line, nine-point circle				EULER LINE / NINE-POINT CIRCLE
Geometry	Triangle centers and triangle configurations	Euler line				EULER LINE GEOMETRY
Geometry	Triangle centers and triangle configurations	Euler line				EULER LINE OBJECTS
Geometry	Triangle centers and triangle configurations	Euler line, nine-point center				EULER LINE/NINE-POINT CENTER
Geometry	Triangle centers and triangle configurations	Euler line, orthocenter				EULER LINE/ORTHOCENTER
Geometry	Triangle centers and triangle configurations	Euler line, orthocenter				EULER LINE/ORTHOCENTER IDENTITIES
Geometry	Triangle centers and triangle configurations	Euler line				EULER LINES
Combinatorics	Graph theory	Euler path				EULER PATHS
Algebra	Sequences, recurrences, and series	partitions		Euler pentagonal theorem		EULER PENTAGONAL THEOREM
Number Theory	Divisibility, gcd, lcm, and primes	Euler product				EULER PRODUCTS
Number Theory	Modular arithmetic and residues	Euler quotient				EULER QUOTIENT
Geometry	Euclidean geometry			Euler relation OI^2 = R(R - 2r)		EULER RELATION OI2=R(R‚àí2R)OI^2=R(R-2R)OI2=R(R‚àí2R)
Combinatorics	Graph theory	Euler tour				EULER TOURS
Combinatorics	Graph theory	Euler trail/cycle				EULER TRAILS/CYCLES
Geometry	Triangle centers and triangle configurations	Euler line				EULER-LINE PHENOMENA
Geometry	Triangle centers and triangle configurations	Euler line, Feuerbach point/circle		Feuerbach theorem		EULER/FEUERBACH
Geometry	Triangle centers and triangle configurations	nine-point circle, Euler line				EULER/NINE-POINT RELATIONS
Combinatorics	Graph theory	Eulerian cycle				EULERIAN CYCLE
Combinatorics	Combinatorial algebra and counting	Eulerian graph				EULERIAN GRAPH
Combinatorics	Graph theory	Eulerian traversal				EULERIAN TRAVERSAL
Combinatorics	Graph theory	Eulerian triangulations				EULERIAN TRIANGULATIONS
Combinatorics	Graph theory	distribution	analogy/flavor			EULERIAN-DISTRIBUTION FLAVOR
Combinatorics	Graph theory					EULERIAN-STYLE CONSTRAINTS
Combinatorics	Graph theory	planar graph		Euler formula		EULER‚ÄôS FORMULA
Algebra	Algebraic manipulation and equations	even part				EVEN PART
Combinatorics	Combinatorial structures and processes	disjointness, events				EVENT DISJOINTNESS
Algebra	Extremal methods, monotonicity, and invariants	eventual periodicity			stability	EVENTUAL PERIODICITY/STABILITY
Number Theory	Diophantine equations and integer constraints	eventual representation				EVENTUAL REPRESENTATION
Algebra	Extremal methods, monotonicity, and invariants	eventual stability			stability	EVENTUAL STABILITY
Number Theory	Diophantine equations and integer constraints	eventual property	propagation			EVENTUAL-TO-GLOBAL PROPAGATION
Number Theory	Number-theoretic algebra		exact comparison		exact result	EXACT COMPARISON
Number Theory	Additive and multiplicative number theory	covering systems	covering		exact result	EXACT COVERING SYSTEMS
Combinatorics	Set systems, posets, and extremal set theory	exact covers			exact result	EXACT COVERS
Algebra	Extremal methods, monotonicity, and invariants	extremal bound	extremal argument		exact bound	EXACT EXTREMAL BOUND
Geometry	Euclidean geometry				example	EXAMPLES
Combinatorics	Counting and enumerative combinatorics	excedances				EXCEDANCES
Geometry	Triangle centers and triangle configurations	excenters, excentral triangle				EXCENTERS/EXCENTRAL TRIANGLE
Geometry	Triangle centers and triangle configurations	excentral ideas				EXCENTRAL IDEAS
Geometry	Triangle centers and triangle configurations	excentral triangle				EXCENTRAL TRIANGLE
Geometry	Triangle centers and triangle configurations	mixtilinear configuration	analogy/flavor			EXCENTRAL/MIXTILINEAR FLAVOR
Geometry	Triangle centers and triangle configurations	mixtilinear configuration				EXCENTRAL/MIXTILINEAR RELATIONS
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE RECOGNITION
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE TANGENCY LENGTHS
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE/CIRCUMCIRCLE
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE/EXCENTRAL
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE/INCIRCLE HOMOTHETY
Geometry	Triangle centers and triangle configurations	excircle				EXCIRCLE/TANGENCY
Algebra	Algebraic manipulation and equations	excluded intervals				EXCLUDED INTERVALS
Number Theory	Diophantine equations and integer constraints	existence statement			existence	EXISTENCE
Geometry	Euclidean geometry	existence condition			existence, criterion	EXISTENCE CONDITION
Geometry	Euclidean geometry	existence criterion			existence, criterion	EXISTENCE CRITERION
Geometry	Euclidean geometry	extension			existence, extension	EXISTENCE/EXTENSION
Combinatorics	Probability, entropy, coding, and information methods	expectation flavor	linearity of expectation, analogy/flavor			EXPECTATION FLAVOR
Combinatorics	Algorithms, automata, words, and constructive combinatorics	exploration with memory				EXPLORATION WITH MEMORY
Number Theory	Diophantine equations and integer constraints	exponents	exponent constraints			EXPONENT CONSTRAINTS
Number Theory	Diophantine equations and integer constraints	exponents	exponent control			EXPONENT CONTROL
Number Theory	Diophantine equations and integer constraints	exponent equations				EXPONENT EQUATIONS
Number Theory	Diophantine equations and integer constraints	exponents	exponent extraction			EXPONENT EXTRACTION
Algebra	Polynomials and algebraic manipulation	exponents	factorization			EXPONENT FACTORIZATION
Algebra	Extremal methods, monotonicity, and invariants	exponents				EXPONENT GROWTH
Algebra	Algebraic manipulation and equations	exponents	exponent manipulation			EXPONENT MANIPULATION
Number Theory	Diophantine equations and integer constraints	exponent patterns				EXPONENT PATTERNS
Number Theory	Diophantine equations and integer constraints	exponents	exponent reduction		reduction	EXPONENT REDUCTION
