Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Geometry	Circle geometry	mixtilinear circle/incircle	inversion; homothety; coaxality; tangency	mixtilinear incircle theorem/flavor	tangency proof; length chase	MIXTILINEAR CIRCLES; MIXTILINEAR INCIRCLE; MIXTILINEAR INCIRCLES / INVERSION / HOMOTHETY; MIXTILINEAR-STYLE CONFIGURATION; MIXTILINEAR-TYPE RADII; MIXTILINEAR/A-SYMMEDIAN PHENOMENA; MIXTILINEARS/COAXALITY
Geometry	Circle geometry	mixed circumcircles	cyclicity; radical axis	power of a point	configuration chase	MIXED CIRCUMCIRCLES; MULTIPLE CIRCLES
Algebra	Polynomials and algebraic manipulation	polynomial over mod 2	finite field arithmetic; parity	Freshman's dream over F2 when applicable	modular reduction	MOD 2 POLYNOMIALS; PARITY OF POLYNOMIAL; POLYNOMIALS MOD P; POLYNOMIALS MODULO P; POLYNOMIALS OVER FIELDS
Combinatorics	Coloring, tiling, grids, and invariants	mod 2/parity weight	weight function; 2-coloring; invariant	parity lemma	invariant; obstruction	MOD 2 WEIGHTS; PARITY & MULTICOLORINGS; PARITY BLOCKS; PARITY CLASS; PARITY CLASSES; PARITY ENCODING; PARITY FORCING; PARITY LEMMA; PARITY/2-COLORING; PARITY/WEIGHT FUNCTIONS
Number Theory	Congruences, residues, and modular arithmetic	modular constraint	congruence classes; CRT; quadratic residues	Chinese remainder theorem; Fermat/Euler when applicable	casework; construction	MOD 3; MOD 3 LINEARIZATION; MODULES OVER Z/CZ; PRIME MODULUS; PARITY/MOD; PARITY/MOD CONSTRAINTS; NT-CRT; DIGIT PERMUTATIONS; MODULAR CONSTRUCTION; NT; QUADRATIC RESIDUES; CRT; FERMAT FACTORS
Algebra	Discrete functions, floors, rounding, and base representation	rounding residue	modulo 1; nearest integer; floor functions	floor/ceiling identities	case split; discretization	MODULAR ROUNDING; MODULO 1 ROUNDING; NEAREST INTEGER; NUMBER THEORY; FLOOR FUNCTIONS; MONOTONE SEQUENCES; NT/COMB - DECIMAL DIGIT SUMS; CONSTRUCTION; NO-CARRY BLOCKS
Algebra	Sequences, recurrences, and series	modular sequence	periodicity; recurrence modulo m	eventual periodicity	induction; invariant	MODULAR SEQUENCES; PERIODIC INDEXING; PERIODIC REMAINDER; PERIODICITY COLLAPSE; PERIODS
Algebra	Extremal methods, monotonicity, and invariants	modular/gcd invariant	invariant; gcd normalization	Euclidean algorithm when applicable	invariant; descent	MODULAR/GCD INVARIANT; MODULAR RIGIDITY VIA 2024!; OPERATIONS/INVARIANTS
Geometry	Complex-plane geometry	cyclotomic module	roots of unity; complex plane; lattice	cyclotomic identities	coordinate setup	MODULES Z[ζ_k]; PARITY/AFFINE COMPOSITION
Algebra	Analytic estimates and asymptotics	moment bound	moment method; convexity; variance	Markov/Chebyshev/Jensen when applicable	bounding	MOMENT BOUNDS; MOMENT METHOD; MOMENT PROBLEM; MOMENT-TYPE ARGUMENTS; POPOVICIU/VARIANCE SHARPENINGS
Algebra	Extremal methods, monotonicity, and invariants	moment invariant	conserved quantity; potential	moment invariant	invariant proof	MOMENT INVARIANTS; POLYNOMIAL/MOMENTS; PROUHET-TYPE MOMENTS
Algebra	Extremal methods, monotonicity, and invariants	monotone chain/function/process	monotonicity; finite differences; inverse; ratios; potential	monotone convergence/discrete monotonicity	forcing; induction; invariant	MONOTONE CHAIN; MONOTONE CHAINS; MONOTONE COUNTING; MONOTONE DENSITY; MONOTONE FUNCTIONS ON N; MONOTONE INTEGER-VALUED FUNCTIONS; MONOTONE INVERSE; MONOTONE ITERATION; MONOTONE PAIRS; MONOTONE POLYGON; MONOTONE POTENTIAL; MONOTONE PROCESS; MONOTONE PRODUCT MAXIMIZATION; MONOTONE RATIOS; MONOTONE STRUCTURE; MONOTONIC COMPARISON; MONOTONIC CROSSING; MONOTONIC FINITE DIFFERENCES; MONOTONIC RATIOS; MONOTONIC WINDOWS; MONOTONICITY FORCING; MONOTONICITY/ITERATES
Algebra	Inequalities and optimization	monotonicity via inequality	comparison inequality; smoothing	AM-GM/Cauchy/Jensen when applicable	bounding; optimization	MONOTONICITY-BY-INEQUALITY; PRODUCT COMPARISON; PRODUCT MAXIMIZATION; PRODUCT SMOOTHING
Algebra	Extremal methods, monotonicity, and invariants	monovariant/potential	monovariant; energy function; process termination	monovariant principle	termination; invariant	MONOVARIANT STRATEGY; MONOVARIANTS/POTENTIAL; POTENTIAL/INVARIANTS; PERIMETER INVARIANT; MOVING-POINT INVARIANTS
Algebra	Sequences, recurrences, and series	monotone subsequence	Erdos-Szekeres; subsequence extraction	monotone subsequence theorem	existence; extraction	MONOTONE SUBSEQUENCE THEOREM; MONOTONE SUBSEQUENCES
Algebra	Functional equations	multiplicative functional equation	Cauchy equation on Q+; substitution; normalization	Cauchy equation	classification	MULTIPLICATIVE CAUCHY ON Q+; MULTIPLICATIVE COSINE EQUATION; MULTIPLICATIVE FUNCTIONAL EQUATION; MULTIPLICATIVE IN TWO VARIABLES; MULTIPLICATIVE/ADDITIVE FORCING
Algebra	Extremal methods, monotonicity, and invariants	multiplicative invariant	multiplicative normalization; product invariant	invariant principle	invariant proof	MULTIPLICATIVE INVARIANTS; MULTIPLICATIVE NORMALIZATION; MULTIPLICATIVE PARAMETER; MULTIPLICATIVE SUBSTITUTION; MULTIPLICATIVE SYMMETRY/INJECTIVITY; MULTIPLICATIVE-ADDITIVE INTERACTION; MULTIPLICATIVITY CHECKS
Combinatorics	Set systems, posets, and extremal set theory	multiplicative poset/product family	divisibility poset; product construction	Dilworth/Sperner when applicable	construction; extremal	MULTIPLICATIVE POSETS; PRODUCT FAMILIES; PRODUCT STRUCTURE; PRODUCT CONSTRUCTION
Number Theory	Arithmetic functions and divisor structure	multiplicative arithmetic function	prime factorization; divisor sums	multiplicativity of sigma; Euler phi when applicable	factorization	MULTIPLICATIVITY OF σ; MULTIPLICATIVITY TRICKS; MULTIPLICATIVITY-FLAVOR; MULTIPLICATIVITY/ω(n) BEHAVIOR; PRIME-FACTOR COUNTING FUNCTIONS
Algebra	Combinatorial algebra and counting	multiset equality/control	matching; ambiguity resolution; symmetric sums	Vieta/symmetric polynomial when applicable	reconstruction; uniqueness	MULTISET AMBIGUITY; MULTISET CONTROL; MULTISET EQUALITY; MULTISET MATCHING; MULTISETS
Algebra	Equations, substitutions, and transformations	multivariable homogeneous expression	homogenization; scaling; substitution	homogeneity principle	normalization	MULTIVARIABLE HOMOGENEITY; HOMOGENIZATION-type tags; NORMALIZATION TRICKS
Geometry	Special configurations and special angles	Napoleon/Kiepert configuration	rotation; equilateral triangles; spiral similarity	Napoleon theorem; Kiepert hyperbola/flavor	configuration recognition	NAPOLEON/KIEPERT FLAVOR; PROMOTION/ROTATION
Geometry	Projective and advanced geometry	Monge line/theorem	homothety centers; projective/affine reasoning	Monge theorem	collinearity proof	MONGE LINE; MONGE THEOREM; MONGE/CEVA FLAVOR
Geometry	Circle geometry	nine-point circle	orthocenter; Euler circle; reflection	nine-point circle theorem	configuration tracking	NINE-POINT CIRCLE/ORTHOCENTER; NINE-POINT GEOMETRY; NINE-POINT SYMMETRIES; NINE-POINT-CIRCLE FLAVOR; NINE-POINT/EULER CIRCLE; NINE-POINT/ORTHIC CIRCLE
Geometry	Triangle centers and orthocentric geometry	orthocenter/orthocentric system	altitudes; reflection; cyclicity; diameter	orthocenter reflection lemma; Euler line	angle chase; construction	ORTHOCENTER / CIRCUMCIRCLE / ORTHOGONALITY; ORTHOCENTER / REFLECTION; ORTHOCENTER CHARACTERIZATION; ORTHOCENTER CIRCLE (BHC); ORTHOCENTER CIRCLES; ORTHOCENTER CONSTRUCTIONS; ORTHOCENTER LENGTHS; ORTHOCENTER LOCUS; ORTHOCENTER REFLECTION; ORTHOCENTER RELATION; ORTHOCENTER TRACKING; ORTHOCENTER TRICK; ORTHOCENTER/CIRCUMCENTER DUALITY; ORTHOCENTER/CIRCUMCIRCLE; ORTHOCENTER/CYCLIC; ORTHOCENTRIC SYSTEM; ORTHOCENTRIC SYSTEMS; ORTHOCENTRES
Geometry	Triangle centers and orthic/pedal geometry	orthic triangle	pedal projection; contact geometry; nine-point circle	orthic triangle lemmas	configuration tracking	ORTHIC & PEDAL; ORTHIC COORDINATES; ORTHIC/CIRCUMCIRCLE; ORTHIC/CONTACT GEOMETRY; ORTHIC/MEDIAL CONFIGURATION; ORTHIC/NINE-POINT; ORTHIC/PROJECTIVE; ORTHIC/SIMSON-LIKE COLLINEARITY
Geometry	Triangle centers and orthic/pedal geometry	pedal triangle/line	projection; Simson line; distance chase	pedal triangle lemma; Simson line	collinearity; cyclic proof	PEDAL CONFIGURATIONS; PEDAL DISTANCES; PEDAL LINE; PEDAL LINES; PEDAL PROJECTIONS; PEDAL QUADRILATERAL; PEDAL TRIANGLE LEMMA; PEDAL TRIANGLES; PEDAL-TYPE SETUP; PEDAL/SIMSON CIRCLE GEOMETRY
Geometry	Core Euclidean geometry	perpendicular/parallel structure	orthogonality; slope; perpendicular bisector; projection	perpendicular bisector theorem	angle chase; locus	PERPENDICULAR CHORDS; PERPENDICULAR CONCURRENCE; PERPENDICULAR CONDITION; PERPENDICULAR EQUAL SEGMENTS; PERPENDICULAR FEET; PERPENDICULAR LINE; PERPENDICULAR MAPS; PERPENDICULAR MIDPOINT RELATION; PERPENDICULAR-BISECTOR CONCURRENCE; PERPENDICULAR/PARALLEL CHASE; PARALLEL LINE; PARALLEL LINES (REIM); PARALLEL/PERPENDICULAR STRUCTURE
Geometry	Core Euclidean geometry	parallelogram/parallel lines	affine coordinates; vector addition; midpoint theorem	parallelogram law	construction; ratio chase	PARALLELOGRAM CONSTRUCTION; PARALLELOGRAM COORDINATES; PARALLELOGRAM LAW; PARALLELOGRAM PROPERTIES; PARALLELOGRAM STRUCTURE; PARALLELS & MIDPOINTS
Geometry	Geometry-flavored algebra	parabola/tangent model	coordinate geometry; tangent equation; area formula	parabola tangent facts	coordinate setup	PARABOLA; PARABOLA AREA FORMULA; PARABOLA REGIONS; PARABOLA TANGENTS; QUADRATIC TANGENTS
Geometry	Core Euclidean geometry	perimeter condition	length chase; Pitot-type equal tangents	Pitot theorem/flavor	identity; optimization	PERIMETER BOUND; PERIMETER CONDITION; PERIMETER EQUATIONS; PERIMETER IDENTITIES; PERIMETER INVARIANCE; PITOT-TYPE CONDITIONS; PITOT/ANGLE CHASING
Number Theory	Diophantine equations and descent	Mordell-type equation	elliptic-curve flavor; descent; bounding	Mordell-type equation	classification; impossibility	MORDELL-TYPE EQUATION
Number Theory	Number-theoretic algebra	near squares/norm identities	square gap; quadratic form; norm equation	Pell/norm identity	bounding; descent	NEAR SQUARES; NEAREST SQUARE; NORM IDENTITY; NORMS X^2+3Y^2; NORM MAPS
Number Theory	Arithmetic functions and divisor structure	divisor/order/factorization	prime factorization; divisor ordering; multiplicity	tau/sigma multiplicativity	casework	NT-DIVISOR ORDERING; PRIME FACTORIZATION; CASEWORK; MULTIPLICITIES; ODD PARTS; ODD-PART DECOMPOSITION
Number Theory	Congruences, residues, and modular arithmetic	quadratic residue/character	Legendre symbol; CRT; residue classes	quadratic reciprocity when applicable	casework; construction	QUADRATIC CHARACTERS; NT-QUADRATIC RESIDUES; COMB-PERMUTATION CONSTRUCTION; PARITY; POWER RESIDUES
Number Theory	Algebraic number theory flavor	quadratic field/norm	algebraic integer; norm; rationality	quadratic field norm	factorization; descent	QUADRATIC FIELD; QUADRATIC FIELDS; QUADRATIC INTEGER NORM; Q-BINOMIAL/INTEGRALITY
Number Theory	Divisibility and prime structure	prime and primitive objects	primitive reduction; prime support; primitive sequence/word	Zsigmondy when applicable	factorization; contradiction	PRIMALITY; PRIME EXPONENTS; PRIMITIVE REDUCTION; PRIMITIVE REPRESENTATIONS; PRIMITIVE SEQUENCES; PRIMITIVE SETS; PRIMITIVE SOLUTIONS; PRIMITIVE WORDS
Number Theory	Diophantine equations and descent	rational/descent equation	rational clearing; height descent; parametrization	rational root test; Vieta jumping when applicable	descent; classification	RATIONAL CLEARING; RATIONAL DESCENT; RATIONAL EQUATION; RATIONAL HEIGHTS; RATIONAL PARAMETERIZATION; RATIONAL PARAMETRIZATION; RATIONAL ROOT TEST
Number Theory	Diophantine equations and descent	Pell/Lucas identity	recurrence; norm equation; Pell equation	Pell equation; Lucas sequence identities	construction; induction	PELL/LUCAS IDENTITY
Number Theory	Base, digit, and automata number theory	popcount/digit sum	binary digit count; no-carry blocks; automata	Thue-Morse when applicable	construction; invariant	POPCOUNT; PROUHET-THUE-MORSE; NT/COMB - DECIMAL DIGIT SUMS; CONSTRUCTION; NO-CARRY BLOCKS
Number Theory	Additive/combinatorial number theory	popular differences/product-free set	additive energy; density; sum-product flavor	Olson/Rado/Schur when applicable	existence; extremal	POPULAR DIFFERENCES; PRODUCT-FREE SETS; PRODUCT-FREE SUBSETS; OLSON-TYPE LEMMA; RADO FLAVOR
Algebra	Algebraic structures and linear algebra	nilpotent element/operator	nilpotence; radical; quotient ring; Jordan-like shift	nilpotence criterion	structure proof	NILPOTENCE; NILPOTENCY; NILPOTENT DIFFERENCE; NILPOTENT SHIFT; NILPOTENT-TYPE ARGUMENTS; NILRADICAL; RADICAL; QUOTIENT RING
Algebra	Algebraic structures and linear algebra	noncommutative algebra	commutator; nonunit; quotient group/ring	group/ring lemmas	structure proof	NONCOMMUTATIVE ALGEBRA; NONUNITS; QUOTIENT GROUPS; Q-COMMUTATORS
Algebra	Algebraic structures and linear algebra	positive semidefinite form/kernel	PSD matrix; Gram representation; eigenvalues	PSD criterion; Cauchy-Schwarz	nonnegativity proof	POSITIVE SEMIDEFINITE FORMS; POSITIVE SEMIDEFINITE KERNEL; PSD KERNEL; POSITIVE QUADRATIC FORMS
Algebra	Analytic estimates and asymptotics	Perron-Frobenius/eigenvalue estimate	spectral radius; positive matrix	Perron-Frobenius theorem	existence; bounding	PERRON-FROBENIUS; PERRON-TYPE CRITERION
Algebra	Complex, trigonometric, and Fourier methods	Parseval/Fourier orthogonality	orthogonal expansion; trigonometric polynomial	Parseval identity	energy estimate	PARSEVAL; PARSEVAL/ORTHOGONALITY; PRODUCT-TO-SINE; POWER/TRIG; PROJECTIVE/TRIG LEMMA
Combinatorics	Combinatorial algebra and counting	noncrossing matching/partition	Catalan counting; planar embedding	Catalan recurrence	enumeration; construction	NONCROSSING FAMILIES; NONCROSSING GRAPHS; NONCROSSING MATCHINGS/CATALAN; NONCROSSING PARTITIONS; NONCROSSING SELECTION; NON-SELF-INTERSECTION
Combinatorics	Graph theory	planar graph/dual	Euler formula; planar duality; face count; coloring	Euler's formula; planar separator when applicable	counting; obstruction	PLANAR CUBIC GRAPHS; PLANAR DUAL GRAPH; PLANAR DUALS/ARRANGEMENTS; PLANAR EMBEDDINGS; PLANAR FACES; PLANAR GRAPH ARRANGEMENTS; PLANAR GRAPH COLORING; PLANAR GRAPH COUNT; PLANAR GRAPH DUALITY; PLANAR GRAPH PATHS; PLANAR GRAPHS/SPANNING CONNECTIVITY/EDGE-COLORING; PLANAR SEPARATORS/DUALITY; PLANAR TRIANGULATIONS
Geometry	Geometry-flavored algebra	polygon/polygonal construction	angle sum; side directions; triangulation; visibility	polygon angle sum	construction; coordinate setup	POLYGON ANGLE SUM; POLYGON ANGLES; POLYGON BOUNDARY; POLYGON CONSTRUCTION; POLYGON GEOMETRY; POLYGON INTERSECTIONS; POLYGON SIDE DIRECTIONS; POLYGON TRIANGULATION; POLYGON VISIBILITY; POLYGONAL CONSTRUCTION; POLYGONAL GEOMETRY; POLYGONIZATION; POLYGONS
Combinatorics	Coloring, tiling, grids, and invariants	polyomino/grid graph	grid graph; topology; invariant coloring	Pick/Euler when applicable	construction; obstruction	POLYOMINO AS GRID GRAPH; POLYOMINO TOPOLOGY; PACKING/COVERING; PARITY/TILINGS
Geometry	Core Euclidean geometry	Pick/shoelace/lattice area	lattice points; area; coordinate geometry	Pick's theorem; shoelace formula	area computation	PICK THEOREM; PICK-STYLE BOUNDS; PICK-STYLE COUNTING; PICK/SHOELACE; PICK’S THEOREM
Geometry	3D and solid geometry	polyhedron/prism/octohedron/plane	solid geometry; projection; section	Euler polyhedron formula when applicable	spatial construction	OCTAHEDRON; PRISMS; PLANES; PLANE VS SPACE; PERPENDICULARITY IN SPACE; POLYHEDRAL GEODESICS
Combinatorics	Set systems, posets, and extremal set theory	poset/chains/antichains/order ideals	partial order; Dilworth/Mirsky; extremal chain	Dilworth theorem; Mirsky theorem; Sperner when applicable	existence; extremal	PARTIAL ORDERS; ORDER IDEALS; ORDERS/POSETS; POSET-LIKE STRUCTURE; POSET/COUNTING; POSETS & DILWORTH; POSETS (DILWORTH/MIRSKY); POSETS/ANTICHAINS; POSETS/CHAIN-ANTICHAIN; POSETS/CHAINS; POSETS/IDEALS
Combinatorics	Counting and enumerative combinatorics	ordered partitions/compositions	generating functions; bijection; recurrence	Bell/Fubini numbers when applicable	enumeration	ORDERED BELL NUMBERS; ORDERED PARTITIONS; ORDERED POSITIVE INTEGERS; ORDERED SUMS; PARTITION/COUNTING; PARTITION POLYNOMIALS; PARTITION PRODUCTS
Combinatorics	Algorithms, automata, words, and constructive combinatorics	online ordering/matching/balancing	adversarial process; greedy response; invariant	online matching theorem/flavor	strategy; construction	ONLINE BALANCING; ONLINE MATCHING; ONLINE ORDERING
Algebra	Extremal methods, monotonicity, and invariants	ordered extremal structure	ordering distances/labels; exchange argument	rearrangement principle when applicable	extremal choice; contradiction	ORDERING DISTANCES; ORDERING OF LABELS; ORDERING STRATEGY; ORDERING/INVARIANTS; PERMUTATIONS / EXTREMAL / MIN-MAX; POLYGON ORDERING; POLYGONAL ORDERING
Combinatorics	Combinatorial algebra and counting	pairing strategy	pairing; involution; response strategy; blocking	involution principle; Hall when applicable	construction; strategy	PAIR PARTITIONS; PAIR SELECTION; PAIRING FUNCTION; PAIRING STRATEGIES; PAIRING/BLOCKING; PAIRING/PERMUTATION VIEW; PAIRING/PRODUCT CONSTRUCTION; PAIRING/RESPONSE STRATEGY; PAIRINGS; PRODUCT PAIRING
Combinatorics	Combinatorial algebra and counting	matching/perfect matching	Hall condition; augmenting path; parity	Hall theorem; König when applicable	existence; construction	PERFECT MATCHING; PERFECT MATCHINGS; PACKINGS/MATCHINGS; MULTISET MATCHING; RAINBOW MATCHINGS
Combinatorics	Combinatorial algebra and counting	permutation structure	cycle decomposition; sign; swaps; local constraints; matrices	Cayley graph; permutation parity	classification; counting	PERMUTATION CODES; PERMUTATION CYCLES; PERMUTATION DIAGRAMS; PERMUTATION DYNAMICS; PERMUTATION ENCODING; PERMUTATION GRAPHS; PERMUTATION INEQUALITY; PERMUTATION MATRICES; PERMUTATION MATRIX; PERMUTATION OBSTRUCTION; PERMUTATION PARITY; PERMUTATION POSETS; PERMUTATION SEARCH; PERMUTATION SIGN; PERMUTATION STATISTICS; PERMUTATION SWAPS; PERMUTATION/FIXED POINT; PERMUTATIONS / DISTANCE CONSTRAINTS; PERMUTATIONS BY ROWS; PERMUTATIONS OF INTEGERS; PERMUTATIONS ON A CYCLE; PERMUTATIONS WITH LOCAL CONSTRAINTS; PERMUTATIONS/CAYLEY GRAPHS; PERMUTATIONS/CYCLE STRUCTURE; PERMUTATIONS/GROUP ACTIONS; PERMUTATIONS/MATCHING/DISCREPANCY
Combinatorics	Graph theory	orientation/tournament	oriented graph; tournament; pseudoline arrangement	Paley tournament; orientation theorem	construction; counting	ORIENTATION; ORIENTATION THEOREM; ORIENTATIONS; ORIENTATIONS ON PSEUDOLINE ARRANGEMENTS; ORIENTED TURNS; PALEY/DOUBLY REGULAR TOURNAMENTS
Combinatorics	Graph theory	nearest-neighbour/proximity graph	geometric graph; planar graph; nearest/farthest rule	planarity lemmas	construction; obstruction	NEAREST-NEIGHBOUR DIGRAPHS; NEAREST/FARTHEST GRAPH; PROXIMITY GRAPHS / PLANARITY / CONNECTIVITY STRATEGIES
Combinatorics	Probabilistic and extremal methods	probabilistic method	random selection; averaging; entropy; deletion	probabilistic method; Lovasz local lemma when applicable	existence proof	PROBABILISTIC/AVERAGING; PROBABILISTIC/ENTROPY; PROBABILISTIC/GREEDY DELETION; PROBABILITY METHOD; RANDOM SIGNS; RANDOM SUBSETS
Algebra	Probability and recurrences	probability/Markov recurrence	Markov chain; recurrence relation; expectation	Markov chain	recurrence setup	PROBABILITY INTERPRETATION; PROBABILITY; RECURRENCE; MARKOV CHAIN
Combinatorics	Process invariants	process analysis	potential; invariant; termination; greedy	monovariant principle	process proof	PROCESS ANALYSIS; PROCESS INTERPRETATION; PROCESSES; RANDOM WALK/POTENTIAL; POTENTIAL/ENERGY METHOD; POTENTIAL/ENERGY METHODS; POTENTIAL/COMPENSATION
Geometry	Projective and advanced geometry	Pascal/Brianchon/Cayley-Bacharach configuration	projective theorem; conic; hexagon	Pascal theorem; Brianchon theorem; Cayley-Bacharach	collinearity/concurrency proof	PASCAL/BRIANCHON FLAVOR; PASCAL/CAYLEY-BACHARACH; PASCAL/CEVA
Combinatorics	Coloring, tiling, grids, and invariants	Pascal triangle mod 2	Lucas theorem; parity; Sierpinski structure	Lucas theorem	modular counting	PASCAL MOD 2; PASCAL TRIANGLE MOD 2
Geometry	Circle geometry	Ptolemy/cyclic quadrilateral	cyclicity; length relation; inequality	Ptolemy theorem; Ptolemy inequality	length chase; inequality	PTOLEMY INEQUALITY; PTOLEMY/GOLDEN RATIO; PTOLEMY/HOMOTHETY; PTOLEMY/PERIMETER INEQUALITIES
Geometry	Projective and advanced geometry	pole-polar system	polar line; La Hire; harmonic bundle; tangent chord relation	La Hire theorem; pole-polar theorem	projective reduction; tangency proof	POLAR LINE; POLAR/CONTACT GEOMETRY; POLAR/INVOLUTION; POLAR/POWER; POLAR/PROJECTIVE GEOMETRY; POLAR/RADICAL AXIS; POLAR/SYMMEDIAN; POLAR/TANGENT LINES; POLAR/TANGENT STRUCTURE; POLARS AND HARMONIC BUNDLES; POLARS W.R.T. INCIRCLE; POLARS/POLES (CIRCLE); POLARS/POWERS; POLARS/TANGENTS; POLAR–CHORD RELATIONS; POLE-POLAR/COORDINATES; POLE-POLAR/LOCUS; POLE-POLAR/PROJECTIVE GEOMETRY; POLE/POLAR / PROJECTIVE; POLE/POLAR FLAVOR; POLE/TANGENT TRIANGLE
