Area	Canonical Subtopic	Object tag	Technique tag	Lemma/Theorem tag	Proof role	Raw imported tag
Combinatorics	Coloring, tiling, grids, and invariants	board design	constructive tiling	NULL	construction	BOARD DESIGN
Combinatorics	Games and strategies	board game	strategy analysis	NULL	game strategy	BOARD GAME
Combinatorics	Combinatorial geometry	board geometry	lattice geometry	NULL	modeling	BOARD GEOMETRY
Combinatorics	Coloring, tiling, grids, and invariants	boards and colorings	coloring invariant	NULL	invariant	BOARDS & COLORINGS
Combinatorics	Set systems, posets, and extremal set theory	set pairs	extremal set method	Bollobás-type theorem	upper bound	BOLLOBÁS-TYPE IDEAS
Combinatorics	Graph theory	cuts and bonds	minimal cut analysis	NULL	connectivity	BONDS/MINIMAL CUTS
Combinatorics	Graph theory	graph cycles	Bondy-type theorem	Bondy's theorem	structural theorem	BONDY-TYPE THEOREM
Combinatorics	Counting and enumerative combinatorics	events	inclusion-exclusion bounds	Bonferroni inequalities	bounding	BONFERRONI BOUNDS
Algebra	Algebraic structures and linear algebra	Boolean algebra	Boolean operations	NULL	structural algebra	BOOLEAN ALGEBRA
Combinatorics	Combinatorial algebra and counting	Boolean structures	Boolean counting	NULL	counting	BOOLEAN COUNTING
Combinatorics	Combinatorial algebra and counting	Boolean matrices	matrix counting	NULL	counting	BOOLEAN MATRICES
Algebra	Algebraic structures and linear algebra	Boolean ring	ring structure	NULL	structural algebra	BOOLEAN RINGS
Algebra	Extremal methods, monotonicity, and invariants	bounded sequence/bootstrap	bootstrap argument	NULL	boundedness	BOOTSTRAP BOUNDEDNESS
Combinatorics	Graph theory	percolation process	bootstrap percolation	NULL	closure	BOOTSTRAP PERCOLATION/TRIADIC CLOSURE
Geometry	Combinatorial geometry	topological/geometric configuration	Borsuk-type argument	Borsuk-Ulam/Borsuk theorem	obstruction	BORSUK-TYPE ARGUMENT
Algebra	Equations, substitutions, and transformations	boundary cases	boundary check	NULL	case verification	BOUNDARY CHECK
Algebra	Equations, substitutions, and transformations	boundary cases	boundary checking	NULL	case verification	BOUNDARY CHECKING
Combinatorics	Combinatorial geometry	boundary components	component counting	NULL	counting	BOUNDARY COMPONENTS
Combinatorics	Counting and enumerative combinatorics	boundary terms	correction term	NULL	error correction	BOUNDARY CORRECTION
Algebra	Inequalities and optimization	boundary equality	equality case analysis	NULL	equality case	BOUNDARY EQUALITY
Algebra	Extremal methods, monotonicity, and invariants	boundary maximum	boundary maximization	NULL	maximization	BOUNDARY MAXIMIZATION
Combinatorics	Combinatorial geometry	boundary obstruction	obstruction argument	NULL	obstruction	BOUNDARY OBSTRUCTION
Algebra	Equations, substitutions, and transformations	boundary cases	boundary reduction	NULL	reduction	BOUNDARY REDUCTION
Combinatorics	Combinatorial geometry	boundary turns	turning/invariant count	NULL	invariant	BOUNDARY TURNS
Algebra	Inequalities and optimization	boundary equality	boundary/equality analysis	NULL	equality case	BOUNDARY/EQUALITY ANALYSIS
Algebra	Extremal methods, monotonicity, and invariants	boundary extremum	extremal boundary analysis	NULL	extremal reduction	BOUNDARY/EXTREMAL
Number Theory	Divisibility, gcd, lcm, and primes	denominators	denominator bounding	NULL	bounding	BOUNDED DENOMINATORS
Number Theory	Additive/combinatorial number theory	discrepancy	bounded discrepancy	NULL	bounding	BOUNDED DISCREPANCY
Algebra	Polynomials and algebraic manipulation	factorization	bounded factorization	NULL	structural bound	BOUNDED FACTORIZATION
Combinatorics	Sequences and recurrences	partial sums	bounded partial sums	NULL	invariant	BOUNDED PARTIAL SUMS
Number Theory	Diophantine equations	integer perturbation	bounded perturbation	NULL	reduction	BOUNDED PERTURBATION
Algebra	Inequalities and optimization	ratio	bounded ratio	NULL	bounding	BOUNDED RATIO
Number Theory	Divisibility, gcd, lcm, and primes	representations	bounded representation	NULL	finiteness	BOUNDED REPRESENTATIONS
Algebra	Polynomials and algebraic manipulation	roots	root bound	NULL	bounding	BOUNDED ROOTS
Combinatorics	Graph theory	walk	bounded walk	NULL	reachability	BOUNDED WALK
Algebra	Extremal methods, monotonicity, and invariants	boundedness	boundedness forcing	NULL	contradiction	BOUNDEDNESS FORCING
Algebra	Extremal methods, monotonicity, and invariants	boundedness	boundedness trick	NULL	bounding	BOUNDEDNESS TRICK
Algebra	Extremal methods, monotonicity, and invariants	bootstrap bound	bounding bootstrap	NULL	bootstrap	BOUNDING BOOTSTRAP
Geometry	Geometry-flavored algebra	bounding box	coordinate equations	NULL	reduction	BOUNDING BOX EQUATIONS
Algebra	Extremal methods, monotonicity, and invariants	extrema	bounding by extrema	NULL	bounding	BOUNDING BY EXTREMA
Algebra	Analytic estimates and asymptotics	error term	error bounding	NULL	estimate	BOUNDING ERROR
Number Theory	Diophantine equations	near-square integer	bounding near a square	NULL	bounding	BOUNDING NEAR A SQUARE
Algebra	Inequalities and optimization	quadratic	bounding quadratic	NULL	bounding	BOUNDING QUADRATIC
Algebra	Sequences, recurrences, and series	sequence	sequence bounds	NULL	bounding	BOUNDING SEQUENCES
Combinatorics	Counting and enumerative combinatorics	terms	termwise bounding	NULL	bounding	BOUNDING TERMWISE
Algebra	Extremal methods, monotonicity, and invariants	inductive bound	bounding and induction	NULL	induction	BOUNDING/INDUCTION
Number Theory	Diophantine equations	ordered integers	order/bounding argument	NULL	bounding	BOUNDING/ORDER
Algebra	Inequalities and optimization	box constraints	constraint optimization	NULL	bounding	BOX CONSTRAINTS
Combinatorics	Graph theory	intersection graph	boxicity	NULL	representation	BOXICITY
Algebra	Equations, substitutions, and transformations	branching cases	branching condition	NULL	case split	BRANCHING CONDITION
Geometry	Core Euclidean geometry	quadrilateral	Bretschneider/splitting	Bretschneider formula	area computation	BRETSCHNEIDER/SPLITTING
Geometry	Projective geometry	complete quadrilateral	Brianchon/Carnot	Brianchon theorem; Carnot theorem	concurrency/metric relation	BRIANCHON/CARNOT
Geometry	Core Euclidean geometry	rectangle/point distances	distance identity	British Flag theorem	metric computation	BRITISH FLAG THEOREM
Geometry	Triangle centers and triangle configurations	Brocard point	triangle-center chase	Brocard point	configuration	BROCARD POINT
Geometry	Triangle centers and triangle configurations	Brocard-like configuration	angle chase	Brocard-type configuration	configuration	BROCARD-LIKE CONFIGURATION
Geometry	Triangle centers and triangle configurations	Brocard-like point	triangle-center chase	Brocard-type point	configuration	BROCARD-LIKE POINT
Geometry	Triangle centers and triangle configurations	Brocard angles	angle chase	Brocard angle	angle chase	BROCARD-STYLE ANGLES
Geometry	Triangle centers and triangle configurations	Brocard-type points	triangle-center chase	Brocard point	configuration	BROCARD-TYPE POINTS
Geometry	Triangle centers and triangle configurations	Brocard/DIT	triangle-center method	Brocard; DIT	configuration	BROCARD/DIT
Combinatorics	Graph theory	C4-free graph	forbidden subgraph	NULL	extremal bound	C4-FREE
Combinatorics	Graph theory	C4-free bipartite graph	forbidden cycle	NULL	extremal bound	C4-FREE BIPARTITE GRAPHS
Combinatorics	Graph theory	C4-free graph	forbidden cycle	NULL	extremal bound	C4-FREE GRAPHS
Algebra	Inequalities and optimization	convex/concave function	calculus-free convexity	NULL	estimate	CALC-FREE CONVEXITY/CONCAVITY TRICKS
Algebra	Analytic estimates and asymptotics	convex function	calculus convexity	NULL	optimization	CALCULUS/CONVEXITY
Algebra	Polynomials and algebraic manipulation	factorization	calculus-assisted factorization	NULL	structural reduction	CALCULUS/FACTORIZATION
Algebra	Polynomials and algebraic manipulation	polynomial	calculus on polynomial	NULL	root/shape analysis	CALCULUS/POLYNOMIAL
Number Theory	Sequences and recurrences	rational enumeration	continued fractions	Calkin-Wilf tree; Stern-Brocot tree	enumeration	CALKIN–WILF / STERN–BROCOT
Combinatorics	Counting and enumerative combinatorics	pairs	cancellation pairing	NULL	involution/counting	CANCELLATION PAIRS
Combinatorics	Algorithms, automata, words, and constructive combinatorics	coin system	greedy coin algorithm	NULL	classification	CANONICAL COIN SYSTEMS
Number Theory	Divisibility, gcd, lcm, and primes	residue/representative	canonical representative	NULL	normalization	CANONICAL REPRESENTATIVES
Algebra	Extremal methods, monotonicity, and invariants	ordered cards	card ordering	NULL	extremal ordering	CARD ORDERING
Number Theory	Additive/combinatorial number theory	cardinality	cardinality argument	NULL	counting	CARDINALITY
Number Theory	Congruences and modular arithmetic	exponent	Carmichael exponent	Carmichael function	order bound	CARMICHAEL EXPONENT
Number Theory	Congruences and modular arithmetic	Carmichael function	modular exponent	Carmichael function	order computation	CARMICHAEL FUNCTION
Geometry	Core Euclidean geometry	triangle distances	Carnot relation	Carnot theorem	metric relation	CARNOT THEOREM
Combinatorics	Graph theory	independent set	greedy degree bound	Caro-Wei theorem	lower bound	CARO–WEI/GREEDY
Number Theory	Divisibility, gcd, lcm, and primes	cases	case check	NULL	case verification	CASE CHECK
Combinatorics, Number Theory	Counting and divisibility	cases	case classification	NULL	classification	CASE CLASSIFICATION
Combinatorics	Counting and enumerative combinatorics	cases	case counting	NULL	counting	CASE COUNTING
Number Theory	Diophantine equations	square/non-square cases	case split	NULL	case split	CASE SPLIT BY N SQUARE/NON-SQUARE
Algebra	Equations, substitutions, and transformations	AAA case	case split	NULL	case split	CASE SPLIT ON AAA
Number Theory	Diophantine equations	cases	case splitting	NULL	case split	CASE SPLITTING
Number Theory	Divisibility, gcd, lcm, and primes	cases	case chasing	NULL	casework	CASE-CHASING
Combinatorics	Coloring, tiling, grids, and invariants	coloring cases	casework/coloring	NULL	casework	CASEWORK/COLORING
Combinatorics	Algorithms, automata, words, and constructive combinatorics	states	dynamic programming casework	NULL	recursion	CASEWORK/DP
Combinatorics	Pigeonhole, extremal principle, and averaging	cases	pigeonhole casework	NULL	contradiction	CASEWORK/PIGEONHOLE
Number Theory	Sequences and recurrences	Fibonacci-like sequence	identity	Cassini identity	identity	CASSINI-TYPE IDENTITY
Combinatorics	Counting and enumerative combinatorics	Catalan objects	Catalan counting	Catalan numbers	counting	CATALAN COUNTING
Algebra	Polynomials and algebraic manipulation	Catalan factor	factorization	Catalan numbers	factorization	CATALAN FACTOR
Combinatorics	Counting and enumerative combinatorics	Catalan structure	recursive decomposition	Catalan numbers	structural decomposition	CATALAN STRUCTURE
Combinatorics	Counting and enumerative combinatorics	Catalan structures	recursive decomposition	Catalan numbers	structural decomposition	CATALAN STRUCTURES
Number Theory	Diophantine equations	exponential equation	Catalan special case	Mihăilescu/Catalan theorem	case reduction	CATALAN-SPECIAL CASE
Combinatorics	Counting and enumerative combinatorics	Catalan objects	Catalan-style counting	Catalan numbers	counting	CATALAN-STYLE COUNTING
Combinatorics	Counting and enumerative combinatorics	triangulations	Catalan decomposition	Catalan numbers	counting	CATALAN-STYLE TRIANGULATIONS
Combinatorics	Counting and enumerative combinatorics	Catalan/Kreweras objects	lattice path enumeration	Catalan/Kreweras numbers	counting	CATALAN/KREWERAS TYPE
Number Theory	Diophantine equations	powers	Catalan/Mihăilescu reduction	Mihăilescu theorem	contradiction	CATALAN/MIHAILESCU
Combinatorics	Counting and enumerative combinatorics	Catalan/Narayana numbers	refined Catalan counting	Narayana numbers	counting	CATALAN/NARAYANA NUMBERS
Algebra	Sequences, recurrences, and series	Catalan recursion	recursive counting	Catalan recurrence	recursion	CATALAN/RECURSION
Algebra	Sequences, recurrences, and series	series	Cauchy condensation	Cauchy condensation test	convergence	CAUCHY CONDENSATION
Algebra	Inequalities and optimization	equality case	Cauchy equality	Cauchy-Schwarz	equality case	CAUCHY EQUALITY
Algebra	Inequalities and optimization	equality cases	Cauchy equality cases	Cauchy-Schwarz	equality case	CAUCHY EQUALITY CASES
Algebra	Functional equations	additive function	stability	Cauchy equation	stability	CAUCHY EQUATION STABILITY
Algebra	Functional equations	additive function	rational-linearity	Cauchy equation	classification	CAUCHY OVER Q
Algebra	Functional equations	pathological additive functions	pathology control	Cauchy equation	regularity	CAUCHY PATHOLOGY CONTROL
Algebra	Inequalities and optimization	vectors/terms	Cauchy-Schwarz equality	Cauchy-Schwarz	equality case	CAUCHY-SCHWARZ EQUALITY
Algebra	Inequalities and optimization	sum structure	Cauchy-style restructuring	Cauchy-Schwarz	structural reduction	CAUCHY-STYLE STRUCTURE
Algebra	Inequalities and optimization	terms	Cauchy-type inequality	Cauchy-Schwarz	bounding	CAUCHY-TYPE
Algebra	Inequalities and optimization	expression behavior	Cauchy-type behavior	Cauchy-Schwarz	structural recognition	CAUCHY-TYPE BEHAVIOR
Algebra	Inequalities and optimization	condition	Cauchy-type condition	Cauchy-Schwarz	condition forcing	CAUCHY-TYPE CONDITION
Algebra	Inequalities and optimization	estimates	Cauchy-type estimates	Cauchy-Schwarz	estimate	CAUCHY-TYPE ESTIMATES
Algebra	Inequalities and optimization	expression	Cauchy-type simplification	Cauchy-Schwarz	simplification	CAUCHY-TYPE SIMPLIFICATION
Algebra	Inequalities and optimization	means	Cauchy with AM-HM	Cauchy-Schwarz; AM-HM	bounding	CAUCHY/AM-HM
Algebra	Inequalities and optimization	means	Cauchy with AM-QM	Cauchy-Schwarz; AM-QM	bounding	CAUCHY/AM-QM BOUNDS
Algebra	Inequalities and optimization	sequences	Cauchy/Chebyshev	Cauchy-Schwarz; Chebyshev inequality	bounding	CAUCHY/CHEBYSHEV
Algebra	Inequalities and optimization	areas	Cauchy/Jensen estimate	Cauchy-Schwarz; Jensen	bounding	CAUCHY/JENSEN ON AREAS
Algebra	Inequalities and optimization	estimates	Cauchy/Jensen style	Cauchy-Schwarz; Jensen	estimate	CAUCHY/JENSEN-STYLE ESTIMATES
Algebra	Inequalities and optimization	convex sequences	Cauchy/Jensen/Karamata	Cauchy-Schwarz; Jensen; Karamata	majorization	CAUCHY/JENSEN/KARAMATA
Combinatorics	Combinatorial geometry	incidence/volume	Cauchy with Loomis-Whitney	Cauchy-Schwarz; Loomis-Whitney	bounding	CAUCHY/LOOMIS–WHITNEY
Algebra	Inequalities and optimization	fractions	Cauchy/Nesbitt	Cauchy-Schwarz; Nesbitt	bounding	CAUCHY/NESBITT
Algebra	Inequalities and optimization	sum of squares	Cauchy/SOS	Cauchy-Schwarz; SOS	equality/bounding	CAUCHY/SOS
Combinatorics	Graph theory	degrees	Cauchy-Schwarz on degrees	Cauchy-Schwarz	bounding	CAUCHY–SCHWARZ ON DEGREES
Algebra	Inequalities and optimization	quadratic terms	Cauchy-Schwarz / 2ab bound	Cauchy-Schwarz; 2ab ≤ a^2 + b^2	bounding	CAUCHY–SCHWARZ/2AB≤…
Combinatorics	Graph theory	Cayley graph	prefix reversal generators	Cayley graph	diameter/modeling	CAYLEY GRAPH (PREFIX REVERSALS)
Combinatorics	Graph theory	Cayley graph	graph diameter	Cayley graph	diameter bound	CAYLEY GRAPH DIAMETER
Combinatorics	Graph theory	Cayley graph	group-generated graph	Cayley graph	modeling	CAYLEY GRAPHS
Combinatorics	Counting and enumerative combinatorics	trees	Prüfer coding	Cayley formula; Prüfer code	counting	CAYLEY/PRUFER
Combinatorics	Algorithms, automata, words, and constructive combinatorics	cellular automaton	state evolution	NULL	invariant	CELLULAR AUTOMATON
Algebra	Algebraic structures and linear algebra	center	central element/center	NULL	structural classification	CENTER
Algebra	Equations, substitutions, and transformations	centered variables	centering trick	NULL	normalization	CENTERING TRICK
Combinatorics	Combinatorial geometry	point set	ham-sandwich/centerpoint method	Centerpoint theorem	selection	CENTERPOINT THEOREM
Geometry	Triangle centers and triangle configurations	centers/circumcenters	center chase	NULL	configuration	CENTERS & CIRCUMCENTERS
Geometry	Circle geometry	variable-circle centers	locus of centers	NULL	locus	CENTERS OF VARIABLE CIRCLES
Combinatorics	Counting and enumerative combinatorics	central decomposition	decomposition	NULL	structural decomposition	CENTRAL DECOMPOSITION
Geometry	Transformational geometry	centrally symmetric figure	central symmetrization	NULL	transformation	CENTRAL SYMMETRIZATION
Geometry	Circle geometry	central and inscribed angles	angle chase	Inscribed angle theorem	angle chase	CENTRAL/INSCRIBED ANGLES
Algebra	Algebraic structures and linear algebra	centralizer	commutation/centralizer	NULL	structural algebra	CENTRALIZERS
Geometry	Convex geometry	centrally symmetric convex body	symmetrization	NULL	extremal geometry	CENTRALLY SYMMETRIC CONVEX BODIES
Geometry	Geometry-flavored algebra	centroid	centroid coordinates	NULL	coordinate setup	CENTROID COORDINATES
Combinatorics	Algorithms, automata, words, and constructive combinatorics	centroid process	centroid dynamics	NULL	invariant	CENTROID DYNAMICS
Combinatorics	Graph theory	tree centroid	centroid edge	NULL	decomposition	CENTROID EDGE
Geometry	Core Euclidean geometry	centroid	centroid identity	NULL	metric relation	CENTROID IDENTITY
Geometry	Combinatorial geometry	centroid	centroid selection	NULL	selection	CENTROID SELECTION
Geometry	Triangle centers and triangle configurations	centroid-altitude line	center-line chase	NULL	collinearity	CENTROID-ALTITUDE LINE
Geometry	Triangle centers and triangle configurations	centroid/altitude line	center-line chase	NULL	collinearity	CENTROID/ALTITUDE LINE
Geometry	Core Euclidean geometry	centroids and midpoints	midpoint/centroid chase	NULL	configuration	CENTROIDS AND MIDPOINTS
Geometry	Core Euclidean geometry	cevians	concurrency criterion	Ceva's theorem	concurrency	CEVA (CONCURRENT TRANSVERSALS)
Geometry	Core Euclidean geometry	cevians	angle-form Ceva	Ceva's theorem	concurrency	CEVA IN ANGLE FORM
Geometry	Core Euclidean geometry	cevians	Ceva-style concurrency	Ceva's theorem	concurrency	CEVA-STYLE CONCURRENCY
Geometry	Core Euclidean geometry	cevian ratios	ratio chase	Ceva's theorem	ratio setup	CEVA-STYLE RATIOS
Geometry	Geometry-flavored algebra	cevians	coordinate Ceva	Ceva's theorem	coordinate setup	CEVA/COORDINATES
Geometry	Projective geometry	cevians	cross-ratio chase	Ceva's theorem; cross ratio	concurrency	CEVA/CROSS-RATIO
Geometry	Core Euclidean geometry	cevians	trilinear Ceva/Menelaus	Ceva; Menelaus	concurrency/collinearity	CEVA/MENELAUS (TRILINEARS)
Geometry	Projective geometry	cevians	Pascal/Ceva combination	Ceva; Pascal	concurrency	CEVA/PASCAL
Geometry	Core Euclidean geometry	cevians	ratio chase	Ceva's theorem	concurrency	CEVA/RATIO CHASE
Algebra	Complex, trigonometric, and Fourier methods	cevians	trigonometric Ceva	Ceva's theorem	concurrency	CEVA/TRIG CEVA
Geometry	Core Euclidean geometry	cevians	trilinears	Ceva's theorem	concurrency	CEVA/TRILINEARS
Geometry	Core Euclidean geometry	cevians	Ceva-Menelaus	Ceva; Menelaus	concurrency/collinearity	CEVA–MENELAUS
Geometry	Projective geometry	complete quadrilateral	Ceva-Menelaus	Ceva; Menelaus	concurrency/collinearity	CEVA–MENELAUS IN COMPLETE QUADRILATERAL
Geometry	Core Euclidean geometry	cevian coordinates	coordinate ratios	Ceva's theorem	coordinate setup	CEVIAN COORDINATES
Geometry	Core Euclidean geometry	cevian ratios	ratio chase	Ceva's theorem	ratio setup	CEVIAN RATIOS
Geometry	Circle geometry	cevians and circumcircle	cyclic/cevian chase	Ceva's theorem; circle theorem	concurrency	CEVIAN/CIRCUMCIRCLE
Geometry	Core Euclidean geometry	cevians/altitudes	altitude-evian chase	NULL	configuration	CEVIANS/ALTITUDES
Combinatorics	Set systems, posets, and extremal set theory	poset	chain-antichain partition	Dilworth/Mirsky-type theorem	decomposition	CHAIN/ANTICHAIN PARTITION
Algebra	Complex, trigonometric, and Fourier methods	characters modulo 100	character sums	NULL	sum evaluation	CHARACTER SUMS ON Z/100Z
Number Theory	Additive/combinatorial number theory	character sums	character-sum viewpoint	NULL	transformation	CHARACTER-SUM VIEWPOINT
Algebra	Polynomials and algebraic manipulation	characteristic roots	root rigidity	NULL	structural classification	CHARACTERISTIC ROOTS/RIGIDITY
Algebra	Algebraic structures and linear algebra	characteristic subgroup	group invariance	NULL	structural algebra	CHARACTERISTIC SUBGROUPS
Algebra	Extremal methods, monotonicity, and invariants	charge/potential	charging invariant	NULL	invariant	CHARGING INVARIANT
Algebra	Analytic estimates and asymptotics	Chebyshev system	oscillation/variation	NULL	bounding	CHEBYSHEV SYSTEMS
Algebra	Polynomials and algebraic manipulation	Chebyshev expression	Chebyshev identities	Chebyshev polynomials	identity	CHEBYSHEV UNU_NUN
Algebra	Inequalities and optimization	Chebyshev bound	Chebyshev-style bounding	Chebyshev inequality	bounding	CHEBYSHEV-STYLE BOUNDS
Algebra	Equations, substitutions, and transformations	Chebyshev substitution	substitution	Chebyshev polynomials	transformation	CHEBYSHEV-TYPE SUBSTITUTION
Algebra	Sequences, recurrences, and series	continued fractions	Chebyshev/continued fractions	Chebyshev polynomials	recursion	CHEBYSHEV/CONTINUED FRACTIONS
Algebra	Polynomials and algebraic manipulation	polynomial	Chebyshev polynomial method	Chebyshev polynomials	extremal polynomial	CHEBYSHEV/POLYNOMIAL METHOD
Algebra	Complex, trigonometric, and Fourier methods	sine identities	Chebyshev/sine identity	Chebyshev polynomials; sine identities	identity	CHEBYSHEV/SINE IDENTITIES
Algebra	Complex, trigonometric, and Fourier methods	sine identity	Chebyshev/sine identity	Chebyshev polynomials; sine identity	identity	CHEBYSHEV/SINE IDENTITY
Combinatorics	Coloring, tiling, grids, and invariants	checkerboard	checkerboard imbalance	NULL	invariant	CHECKERBOARD IMBALANCE
Combinatorics	Coloring, tiling, grids, and invariants	chessboard	chessboard coloring	NULL	invariant	CHESSBOARD COLORING
Combinatorics	Combinatorial geometry	chessboard	chessboard geometry	NULL	modeling	CHESSBOARD GEOMETRY
Combinatorics	Coloring, tiling, grids, and invariants	chessboard	packing argument	NULL	packing	CHESSBOARD PACKING
Combinatorics	Algorithms, automata, words, and constructive combinatorics	chips	chip movement	NULL	invariant	CHIP MOVEMENT
Combinatorics	Algorithms, automata, words, and constructive combinatorics	chip-firing process	firing invariant	NULL	dynamics	CHIP-FIRING-LIKE PROCESS
Combinatorics	Set systems, posets, and extremal set theory	choice function	selection argument	NULL	construction	CHOICE FUNCTIONS
Combinatorics	Graph theory	chords	chord coloring	NULL	coloring	CHORD COLORING
Geometry	Circle geometry	chords	chord comparison	NULL	metric comparison	CHORD COMPARISON
Geometry	Circle geometry	chords	direction chase	NULL	angle/direction	CHORD DIRECTIONS
Geometry	Circle geometry	chords	chord estimates	NULL	bounding	CHORD ESTIMATES
Geometry	Circle geometry	chord intersection	power-of-point chase	Intersecting chords theorem	metric relation	CHORD INTERSECTION
Number Theory	Additive/combinatorial number theory	chord maps	discrete map	NULL	transformation	CHORD MAPS
Combinatorics	Combinatorial geometry	chord partition	partition argument	NULL	decomposition	CHORD PARTITION
Combinatorics	Graph theory	chord theorem	chordal/cycle theorem	NULL	structural theorem	CHORD THEOREM
Algebra	Complex, trigonometric, and Fourier methods	chord	trigonometric substitution	NULL	transformation	CHORD-TRIG SUBSTITUTION
Combinatorics	Graph theory	chorded cycles	cycle chord analysis	NULL	structural graph	CHORDED CYCLES
Combinatorics	Graph theory	chordless graph	induced-cycle analysis	NULL	structural graph	CHORDLESS GRAPHS
Geometry	Circle geometry	chords and radicals	radical-axis chase	Radical axis theorem	metric relation	CHORDS/RADICALS
Combinatorics	Graph theory	chromatic-critical graph	criticality argument	NULL	extremal coloring	CHROMATIC CRITICALITY
Combinatorics	Graph theory	chromatic number	graph coloring	NULL	coloring	CHROMATIC NUMBER
Geometry	Circle geometry	circle	circle algebra	NULL	metric/algebraic computation	CIRCLE ALGEBRA
